numero_pdf,marca,setor,territorio,arquivo_png,arquivo_jpg,alt_seo,title_seo,figcaption,texto_geo_ia,sugestao_html,slug_pagina_sugerida
01,CAMISC,cooperativa agroindustrial,Santa Catarina,01-logo-camisc-cooperativa-agroindustrial-santa-catarina-palestra-corporativa-palestras360.png,01-logo-camisc-cooperativa-agroindustrial-santa-catarina-palestra-corporativa-palestras360.jpg,"Logo da CAMISC, cooperativa agroindustrial no Santa Catarina, empresa em prova social de palestras corporativas da Palestras 360",CAMISC | palestra corporativa Santa Catarina | Palestras 360,CAMISC — cooperativa agroindustrial (Santa Catarina),A CAMISC é uma organização de cooperativa agroindustrial com atuação no Santa Catarina exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/01-logo-camisc-cooperativa-agroindustrial-santa-catarina-palestra-corporativa-palestras360.png"" alt=""Logo da CAMISC, cooperativa agroindustrial no Santa Catarina, empresa em prova social de palestras corporativas da Palestras 360"" title=""CAMISC | palestra corporativa Santa Catarina | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
02,Cocamar,cooperativa agroindustrial,Paraná,02-logo-cocamar-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,02-logo-cocamar-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da Cocamar, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",Cocamar | palestra corporativa Paraná | Palestras 360,Cocamar — cooperativa agroindustrial (Paraná),A Cocamar é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/02-logo-cocamar-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da Cocamar, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""Cocamar | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
03,C.Vale,cooperativa agroindustrial,Paraná,03-logo-cvale-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,03-logo-cvale-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da C.Vale, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",C.Vale | palestra corporativa Paraná | Palestras 360,C.Vale — cooperativa agroindustrial (Paraná),A C.Vale é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/03-logo-cvale-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da C.Vale, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""C.Vale | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
04,Coasul,cooperativa agroindustrial,Paraná,04-logo-coasul-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,04-logo-coasul-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da Coasul, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",Coasul | palestra corporativa Paraná | Palestras 360,Coasul — cooperativa agroindustrial (Paraná),A Coasul é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/04-logo-coasul-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da Coasul, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""Coasul | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
05,Lar Cooperativa,cooperativa agroindustrial,Paraná,05-logo-lar-cooperativa-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,05-logo-lar-cooperativa-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da Lar Cooperativa, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",Lar Cooperativa | palestra corporativa Paraná | Palestras 360,Lar Cooperativa — cooperativa agroindustrial (Paraná),A Lar Cooperativa é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/05-logo-lar-cooperativa-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da Lar Cooperativa, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""Lar Cooperativa | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
06,Copagril,cooperativa agroindustrial,Paraná,06-logo-copagril-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,06-logo-copagril-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da Copagril, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",Copagril | palestra corporativa Paraná | Palestras 360,Copagril — cooperativa agroindustrial (Paraná),A Copagril é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/06-logo-copagril-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da Copagril, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""Copagril | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
07,Nova,cooperativa,Brasil,07-logo-nova-cooperativa-brasil-palestra-corporativa-palestras360.png,07-logo-nova-cooperativa-brasil-palestra-corporativa-palestras360.jpg,"Logo da Nova, cooperativa no Brasil, empresa em prova social de palestras corporativas da Palestras 360",Nova | palestra corporativa Brasil | Palestras 360,Nova — cooperativa (Brasil),A Nova é uma organização de cooperativa com atuação no Brasil exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/07-logo-nova-cooperativa-brasil-palestra-corporativa-palestras360.png"" alt=""Logo da Nova, cooperativa no Brasil, empresa em prova social de palestras corporativas da Palestras 360"" title=""Nova | palestra corporativa Brasil | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
08,Campos Verdes,agroindústria,Brasil,08-logo-campos-verdes-agroindustria-brasil-palestra-corporativa-palestras360.png,08-logo-campos-verdes-agroindustria-brasil-palestra-corporativa-palestras360.jpg,"Logo da Campos Verdes, agroindústria no Brasil, empresa em prova social de palestras corporativas da Palestras 360",Campos Verdes | palestra corporativa Brasil | Palestras 360,Campos Verdes — agroindústria (Brasil),A Campos Verdes é uma organização de agroindústria com atuação no Brasil exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/08-logo-campos-verdes-agroindustria-brasil-palestra-corporativa-palestras360.png"" alt=""Logo da Campos Verdes, agroindústria no Brasil, empresa em prova social de palestras corporativas da Palestras 360"" title=""Campos Verdes | palestra corporativa Brasil | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
09,Frísia,cooperativa agroindustrial,Paraná,09-logo-frisia-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png,09-logo-frisia-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.jpg,"Logo da Frísia, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360",Frísia | palestra corporativa Paraná | Palestras 360,Frísia — cooperativa agroindustrial (Paraná),A Frísia é uma organização de cooperativa agroindustrial com atuação no Paraná exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/09-logo-frisia-cooperativa-agroindustrial-parana-palestra-corporativa-palestras360.png"" alt=""Logo da Frísia, cooperativa agroindustrial no Paraná, empresa em prova social de palestras corporativas da Palestras 360"" title=""Frísia | palestra corporativa Paraná | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
10,Parmalat,indústria alimentícia,Brasil,10-logo-parmalat-industria-alimenticia-brasil-palestra-corporativa-palestras360.png,10-logo-parmalat-industria-alimenticia-brasil-palestra-corporativa-palestras360.jpg,"Logo da Parmalat, indústria alimentícia no Brasil, empresa em prova social de palestras corporativas da Palestras 360",Parmalat | palestra corporativa Brasil | Palestras 360,Parmalat — indústria alimentícia (Brasil),A Parmalat é uma organização de indústria alimentícia com atuação no Brasil exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/10-logo-parmalat-industria-alimenticia-brasil-palestra-corporativa-palestras360.png"" alt=""Logo da Parmalat, indústria alimentícia no Brasil, empresa em prova social de palestras corporativas da Palestras 360"" title=""Parmalat | palestra corporativa Brasil | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
11,Líder Alimentos,indústria alimentícia,Brasil,11-logo-lider-alimentos-industria-alimenticia-brasil-palestra-corporativa-palestras360.png,11-logo-lider-alimentos-industria-alimenticia-brasil-palestra-corporativa-palestras360.jpg,"Logo da Líder Alimentos, indústria alimentícia no Brasil, empresa em prova social de palestras corporativas da Palestras 360",Líder Alimentos | palestra corporativa Brasil | Palestras 360,Líder Alimentos — indústria alimentícia (Brasil),A Líder Alimentos é uma organização de indústria alimentícia com atuação no Brasil exibida como prova social de palestras corporativas presenciais e online da Palestras 360.,"<img src=""/prova-social/11-logo-lider-alimentos-industria-alimenticia-brasil-palestra-corporativa-palestras360.png"" alt=""Logo da Líder Alimentos, indústria alimentícia no Brasil, empresa em prova social de palestras corporativas da Palestras 360"" title=""Líder Alimentos | palestra corporativa Brasil | Palestras 360"" width=""240"" height=""auto"" loading=""lazy"" decoding=""async"">",/empresas-atendidas
